GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringModel,com.salesforce.apt.graph.model,InstanceDependencyModel,0,15,0,0,0,6,0,3,0,3
AptSpringModel,com.salesforce.apt.graph.model,DefinitionModel,94,298,3,9,18,98,8,40,6,36
AptSpringModel,com.salesforce.apt.graph.model,BaseInstanceModel,38,16,4,0,6,6,4,3,2,3
AptSpringModel,com.salesforce.apt.graph.model,AbstractModel,17,18,1,1,5,7,2,3,1,3
AptSpringModel,com.salesforce.apt.graph.model,InstanceModel,20,23,0,0,6,7,2,3,2,3
AptSpringModel,com.salesforce.apt.graph.model,ConcreteModel,6,6,0,0,2,2,1,1,1,1
AptSpringModel,com.salesforce.apt.graph.model,ExpectedModel,11,23,0,0,2,6,1,3,1,3
AptSpringModel,com.salesforce.apt.graph.types.impl,ReflectionAssignabilityUtils,20,37,1,3,3,5,1,3,0,2
AptSpringModel,com.salesforce.apt.graph.types.impl,ParseType,2,238,1,31,1,60,1,25,0,10
AptSpringModel,com.salesforce.apt.graph.types.impl,AptAssignabilityUtils,103,0,8,0,21,0,9,0,5,0
AptSpringModel,com.salesforce.apt.graph.processing,Verifier,47,0,4,0,12,0,5,0,3,0
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionContentInspector,162,773,28,74,26,143,28,62,6,33
AptSpringModel,com.salesforce.apt.graph.processing,Verifier.ErrorListener,39,0,4,0,10,0,6,0,4,0
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionGraphInpector,0,110,0,10,0,22,0,11,0,6
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionJoiner,62,206,6,19,8,42,6,15,1,7
AptSpringModel,com.salesforce.apt.graph.naming,NamingTools,102,0,8,0,13,0,9,0,4,0
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,UrlResource,0,21,0,2,0,7,0,4,0,3
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader,14,60,0,2,2,15,0,5,0,4
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader.new PrivilegedAction() {...},7,29,0,0,2,5,0,2,0,2
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,FileStore,0,26,0,0,0,6,0,3,0,3
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,TestFileStore,0,58,1,7,0,11,1,5,0,2
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,GsonDefinitionModelStore,17,236,0,4,7,40,3,7,3,5
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptFilerStore,39,0,0,0,7,0,2,0,2,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,ClassFileGsonDefinitionModelStore,143,0,2,0,28,0,4,0,3,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptResourceLoader,70,0,6,0,13,0,6,0,3,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,StringResource,20,0,0,0,6,0,3,0,3,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptElementVisitor,59,0,4,0,15,0,9,0,7,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext.Current,60,0,4,0,13,0,8,0,6,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext,89,0,6,0,16,0,8,0,5,0
AptSpringModel,com.salesforce.apt.graph.parser,ParsingContext,41,0,0,0,12,0,5,0,5,0
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages,14,4,0,0,3,1,2,1,2,1
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorType,0,191,0,0,0,21,0,3,0,3
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorModel,164,35,18,4,19,10,14,6,5,4
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages.Builder,142,35,1,1,37,6,18,2,17,2
